ablation,acc,f1,vocab
"Baseline: TF-IDF uni+bi, sublinear, C=1",0.91124,0.9117939340938904,152680
+ English stop words removed,0.89864,0.8994125119085424,76677
sublinear_tf=False (raw counts),0.9106,0.9111720519852152,152680
min_df=1,0.91228,0.9130486499345783,1514004
min_df=2,0.91324,0.9138088615140075,430159
min_df=10,0.90908,0.9096330457599491,78658
min_df=25,0.90236,0.9028766959774003,33517
min_df=50,0.89764,0.8981249253553087,17331
C=0.01,0.866,0.8690792559012037,152680
C=0.1,0.90324,0.9044289044289044,152680
C=0.5,0.91168,0.9123113582208102,152680
C=2.0,0.9098,0.9103272756193582,152680
C=5.0,0.90804,0.9085339168490153,152680
Unigrams only (no bigrams),0.89068,0.8912065602483977,26837
"LogReg baseline: TF-IDF uni+bi, sublinear, C=1",0.9006,0.9017514727394932,152680
